               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.022056,            0.020874,           0.0058979,             0.21906,             0.15132,             0.62162,             0.13174,            0.029756,            0.019406,            0.014649,           0.0042841,             0.21937,           0.0033248,           0.0033248,            0.070077
                   1,            0.020624,            0.012541,           0.0018263,             0.13771,             0.60477,             0.53771,             0.53897,             0.10588,            0.028855,           0.0081905,          0.00093975,            0.099992,           0.0065278,           0.0065278,            0.039946
                   2,             0.03066,           0.0064374,          0.00017076,            0.065255,             0.41921,             0.72973,             0.50081,              0.1146,            0.033992,           0.0046378,           3.757e-05,            0.066164,           0.0092282,           0.0092282,           0.0093134
                   3,             0.03602,            0.004454,          0.00010837,            0.061618,             0.71031,             0.86156,             0.83009,             0.25921,            0.044645,           0.0025206,          4.2273e-05,            0.063978,           0.0083511,           0.0083511,           0.0083511
                   4,            0.039786,           0.0023398,          8.1517e-05,            0.058464,             0.77311,             0.75676,             0.76113,             0.22094,             0.04473,           0.0017645,          3.9968e-05,             0.06405,           0.0083511,           0.0083511,           0.0083511
                   5,            0.040201,           0.0020119,          5.6536e-05,             0.05825,             0.57177,             0.61361,             0.57453,              0.1604,            0.044853,           0.0015688,           3.893e-05,            0.064164,           0.0072361,           0.0072361,           0.0072361
                   6,            0.040818,           0.0020437,          5.4065e-05,            0.059058,             0.44756,             0.72973,             0.47619,             0.10686,             0.04476,           0.0015787,          0.00023385,            0.069214,               0.006,               0.006,               0.006
                   7,            0.038782,           0.0019536,          3.7157e-05,            0.056528,             0.88916,              0.7027,             0.78841,             0.27682,            0.044694,           0.0015235,          9.9685e-05,            0.065426,           0.0047639,           0.0047639,           0.0047639
                   8,            0.040507,           0.0018625,           3.741e-05,            0.057742,             0.87731,             0.77324,             0.87387,             0.35755,            0.044692,           0.0014753,          3.7868e-05,            0.062863,           0.0036489,           0.0036489,           0.0036489
                   9,            0.039175,           0.0020707,          5.9973e-05,             0.05791,                   1,             0.69436,             0.88272,             0.36347,             0.04477,           0.0015161,          3.3703e-05,            0.062801,           0.0027639,           0.0027639,           0.0027639
                   0,             0.16085,            0.061201,             0.04163,              0.6294,           0.0053062,            0.025566,           0.0021435,          0.00057166,             0.15741,            0.086122,             0.03445,             0.60611,                   0,                   0,                 0.1
                   0,             0.16085,            0.061304,             0.04163,              0.6294,           0.0061991,            0.030303,           0.0021521,          0.00057388,             0.15741,            0.085968,            0.034448,             0.60616,                   0,                   0,                 0.1
